title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
Toy Story,30000000.0,373554033.0,21.946943,1995-10-30,,,
Jumanji,65000000.0,262797249.0,17.015539,1995-12-15,,,
Grumpier Old Men,0.0,0.0,11.7129,1995-12-22,,,
Waiting to Exhale,16000000.0,81452156.0,3.859495,1995-12-22,,,
Father of the Bride Part II,0.0,76578911.0,8.387519,1995-02-10,,,
Heat,60000000.0,187436818.0,17.924927,1995-12-15,,,
Sabrina,58000000.0,0.0,6.677277,1995-12-15,4.2,98.0,
Tom and Huck,0.0,0.0,2.561161,1995-12-22,,,
Sudden Death,35000000.0,64350171.0,5.23158,1995-12-22,,,
GoldenEye,58000000.0,352194034.0,14.686036,1995-11-16,,,
The American President,62000000.0,107879496.0,6.318445,1995-11-17,,,
Dracula: Dead and Loving It,0.0,0.0,5.430331,1995-12-22,,,
Balto,0.0,11348324.0,12.140733,1995-12-22,,,
Nixon,44000000.0,13681765.0,5.092,1995-12-22,,,
Cutthroat Island,98000000.0,10017322.0,7.284477,1995-12-22,,,
Casino,52000000.0,116112375.0,10.137389,1995-11-22,,,
Sense and Sensibility,16500000.0,135000000.0,10.673167,1995-12-13,,,
Four Rooms,4000000.0,4300000.0,9.026586,1995-12-09,,,
Ace Ventura: When Nature Calls,30000000.0,212385533.0,8.205448,1995-11-10,,,
Money Train,60000000.0,35431113.0,7.337906,1995-11-21,,,
Get Shorty,30250000.0,115101622.0,12.669608,1995-10-20,,,
Copycat,0.0,0.0,10.701801,1995-10-27,,,
Assassins,50000000.0,30303072.0,11.065939,1995-10-06,,,
Powder,0.0,0.0,12.133094,1995-10-27,,,
Leaving Las Vegas,3600000.0,49800000.0,10.332025,1995-10-27,,,
Othello,0.0,0.0,1.845899,1995-12-15,,,
Now and Then,12000000.0,27400000.0,8.681325,1995-10-20,,,
Persuasion,0.0,0.0,2.228434,1995-09-27,,,
The City of Lost Children,18000000.0,1738611.0,9.822423,1995-05-16,,,
Shanghai Triad,0.0,0.0,1.100915,1995-04-30,,,
Dangerous Minds,0.0,180000000.0,9.481338,1995-08-11,,,
Twelve Monkeys,29500000.0,168840000.0,12.297305,1995-12-29,,,
Wings of Courage,0.0,0.0,0.745542,1996-09-18,,,
Babe,30000000.0,254134910.0,14.404764,1995-07-18,,,
Carrington,0.0,0.0,1.493361,1995-11-08,,,
Dead Man Walking,11000000.0,39363635.0,6.891317,1995-12-29,,,
Across the Sea of Time,0.0,0.0,0.114469,1995-10-20,,,
It Takes Two,0.0,0.0,7.777735,1995-11-17,,,
Clueless,12000000.0,0.0,9.882383,1995-07-19,,,
"Cry, the Beloved Country",0.0,676525.0,0.894647,1995-12-15,,,
Richard III,0.0,0.0,4.561387,1995-12-29,,,
Dead Presidents,10000000.0,0.0,9.87957,1995-10-06,,,
Restoration,19000000.0,0.0,10.979269,1995-12-29,,,
Mortal Kombat,18000000.0,122195920.0,10.870138,1995-08-18,,,
To Die For,20000000.0,21284514.0,10.448481,1995-05-20,,,
How To Make An American Quilt,10000000.0,23574130.0,4.485958,1995-10-06,,,
Se7en,33000000.0,327311859.0,18.45743,1995-09-22,,,
Pocahontas,55000000.0,346079773.0,13.280069,1995-06-14,,,
When Night Is Falling,0.0,0.0,3.302524,1995-05-05,,,
The Usual Suspects,6000000.0,23341568.0,16.302466,1995-07-19,,,
Guardian Angel,0.0,0.0,0.595949,1994-11-22,,,
Mighty Aphrodite,15000000.0,6700000.0,15.899134,1995-09-13,,,
Lamerica,0.0,0.0,1.361286,1994-01-01,,,
The Big Green,0.0,0.0,5.982764,1995-09-29,,,
Georgia,0.0,0.0,4.093443,1995-05-19,,,
Kids of the Round Table,0.0,0.0,0.307075,1997-07-08,,,
Home for the Holidays,0.0,17519169.0,8.416802,1995-11-02,,,
The Postman,0.0,0.0,10.168437,1994-09-22,,,
The Confessional,0.0,0.0,0.120789,1995-09-29,,,
The Indian in the Cupboard,45000000.0,0.0,10.673296,1995-07-14,,,
Eye for an Eye,20000000.0,0.0,4.733526,1996-01-12,,107.0,
Mr. Holland's Opus,0.0,106269971.0,7.137117,1995-12-29,,,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0,0.0,11.700115,1996-01-12,,,
Two If by Sea,0.0,0.0,2.174487,1996-01-12,,,
Bio-Dome,15000000.0,0.0,6.387469,1996-01-12,,,
Lawnmower Man 2: Beyond Cyberspace,0.0,2409225.0,2.49535,1996-01-12,,,
Two Bits,0.0,0.0,4.046208,1995-10-22,,,
French Twist,0.0,0.0,2.518051,1995-02-08,,,
Friday,3500000.0,28215918.0,14.56965,1995-04-26,,,
From Dusk Till Dawn,19000000.0,25836616.0,15.339153,1996-01-19,,,
Fair Game,50000000.0,11534477.0,5.912223,1995-11-03,,,
Kicking and Screaming,0.0,718490.0,3.367276,1995-10-06,,,
Les Miserables,0.0,0.0,1.479446,1995-03-22,,,
Bed of Roses,0.0,19030691.0,10.412194,1996-01-26,,,
Big Bully,15000000.0,2042530.0,2.936443,1996-01-26,,,
Screamers,20000000.0,5781885.0,12.758848,1995-09-08,,,
Nico Icon,0.0,0.0,0.133893,1995-02-18,,,
The Crossing Guard,0.0,0.0,5.756462,1995-11-15,,,
The Juror,44000000.0,0.0,6.010579,1996-02-02,,,
The White Balloon,0.0,0.0,1.196256,1995-01-01,,,
Things to Do in Denver When You're Dead,8000000.0,529766.0,4.486179,1995-12-01,,,
Antonia's Line,900000.0,0.0,2.030174,1995-09-12,,,
Once Upon a Time... When We Were Colored,0.0,0.0,0.252287,1996-01-26,,,
Last Summer in the Hamptons,0.0,0.0,0.531159,1995-11-22,,,
Angels and Insects,0.0,0.0,2.15166,1995-09-10,,,
White Squall,38000000.0,10300000.0,9.568604,1996-02-02,,,
Dunston Checks In,16000000.0,0.0,4.814825,1996-01-12,,,
Black Sheep,0.0,32.0,8.963037,1996-02-01,,,
Nick of Time,8169363.0,8175346.0,6.848591,1995-11-22,,,
The Journey of August King,0.0,0.0,0.411424,1995-09-14,,,
Mary Reilly,47000000.0,12379402.0,12.866139,1996-02-23,,,
Vampire in Brooklyn,14000000.0,19800000.0,9.071127,1995-10-26,,,
Beautiful Girls,0.0,0.0,4.670562,1996-02-09,,,
Broken Arrow,50000000.0,150270147.0,14.957626,1996-02-09,,,
A Midwinter's Tale,0.0,0.0,0.513391,1995-12-01,,,
La Haine,3000000.0,0.0,12.108196,1995-05-31,,,
Shopping,0.0,0.0,2.657647,1994-12-06,,,
Heidi Fleiss: Hollywood Madam,0.0,0.0,0.638211,1995-12-27,,,
City Hall,0.0,0.0,4.807223,1996-02-16,,,
Bottle Rocket,7000000.0,560069.0,6.904831,1996-02-21,,,
Mr. Wrong,0.0,0.0,3.329264,1996-02-16,,,
